LandProvince;SeaZone;x;y;
sornellenn;sunshade_bay;6149;2067;x
newshore;sunset_approach;6295;2137;x
jesters_point;sunset_approach;6356;2058;x
timber_lagoon;radiant_straits;6048;2198;x
silvarin;coast_of_timber;5902;2186;x
ainellenn;sunshade_bay;6033;2020;x
neckbump;coast_of_timber;5864;2102;x
copperfell;coast_of_timber;5835;2061;x
eresveren;eresveren;5829;1980;x
sandpaper;sunshade_bay;5943;1962;x
gladeshire;sunshade_bay;5879;1837;x
port_alvar;port_alvar;5669;1933;x
timberpoint;outer_rays;5562;1849;x
penguinsedge;sunshade_bay;5771;1741;x
manta_ray;manta_ray;5536;2143;x
severed_islets;resplendent_rift;5533;2346;x
nur_elizna;resplendent_rift;5381;2407;x
matsyamvil;kila_toram;5067;2105;x
minkorai;katal_koraim;5018;2268;x
uorvi;suraels_respite;5431;2637;x
moimoiksul;suraels_respite;5378;2617;x
kiaooron;suraels_respite;5332;2561;x
sorukesthi;suraels_respite;5216;2567;x
orothaua;orothaua;5172;2550;x
aneaurey;south_lovers_pass;3540;3737;x
danamus;danamus;3520;3647;x
behansoru;behansoru;3470;3615;x
vinemouth;vinemouth;3840;3798;x
tohachahiti;leechdens_middanfen;4704;3169;x
lirani;lirani;3310;3478;x
oomul;north_amadia_coast;3345;3562;x
mantur;mantur;3287;3408;x
elilen;elilen;3168;3376;x
bani;bani;3098;3344;x
woobora;cape_bronrin;2981;3295;x
akoson;west_trollsbay;3520;5398;x
limrei;bacoon_bight;3072;3222;x
dawenban;dawenban;3106;3137;x
locpuncara;bacoon_bight;3095;3103;x
birchos;bacoon_bight;3176;3039;x
wena_sinechaiubis;bay_of_adenn;3284;2983;x
cara_banqum;bay_of_adenn;3304;2943;x
puwambatu;bay_of_adenn;3374;2881;x
coosimba;bay_of_adenn;3426;2817;x
pelletton;north_trollsbay;3784;5415;x
firrfrem;east_bloodgroves_coast;4369;5456;x
palaya_orenkoraim;katal_koraim;5000;2291;x
ursibamkq;katal_koraim;5076;2337;x
tskebor;katal_koraim;5198;2463;x
purti;katal_koraim;5114;2375;x
yinladsibstir;katal_koraim;4928;2259;x
korrimadhala;korrimadhala;4933;2183;x
arbcyrr;eastern_floeway;3825;7309;x
curiyankad;kila_toram;4933;2049;x
thekvussam;kila_toram;4904;1953;x
galaskorrim;vyechei_vussam;4811;1977;x
nagar_vyechei;vyechei_vussam;4770;2015;x
varanyachend;vyechei_vussam;4709;2023;x
anakalchend;vyechei_vussam;4593;2087;x
tayakorrim;vyechei_vussam;4526;2116;x
korrimutren;chendhyan_dent;4407;2113;x
kilavussam;katal_koraim;4930;2122;x
abhenn;abhenn;4541;5520;x
enretvil;vyechei_vussam;4500;2041;x
new_varlosen;north_trollsbay;3694;5453;x
paarisavil;paarisavil;4875;1793;x
auradenov;chendhyan_dent;4285;2105;x
bystcaxap;chendhyan_dent;4235;2079;x
haebysziund;chendhyan_dent;4165;2052;x
hussarnbyst;chendhyan_dent;4119;2012;x
empkeios;empkeios;3508;2134;x
agosos;axehead_gulf;3473;2143;x
kheilokos;axehead_gulf;3432;2137;x
dhanam;axehead_gulf;3380;2128;x
rinigos;axehead_gulf;3316;2154;x
elokos;axehead_gulf;3261;2163;x
totemsglade;west_trollsbay;3546;5226;x
astormam;astormam;4055;1933;x
ameion;chendhyan_dent;4052;1863;x
aspaniroga;chendhyan_dent;4061;1901;x
teesratkh;kheyeana_reaches;4011;1788;x
qakhathez;kheyeana_reaches;3959;1747;x
deyeion;deyeion;3921;1663;x
soteriedion;kheyeana_reaches;3866;1631;x
knkholayh;the_passage;3706;1590;x
serigso;serigso;3485;2108;x
keyolion;keyolion;3392;2093;x
poroga;axehead_gulf;3316;2047;x
rgesdeam;axehead_gulf;3345;2017;x
soreion;axehead_gulf;3328;2000;x
theion;theion;3325;1980;x
eneion;iona_coast;3325;1921;x
ykhraeolag;iona_coast;3325;1898;x
akrexyl;akrexyl;3287;1863;x
besolaki;besolaki;3316;1799;x
grnaeghuzi;grnaeghuzi;3264;1776;x
phr_kynd;phr_kynd;3226;1741;x
apikhoxi;cleaved_sea_approach;3229;1671;x
proylasi;cleaved_sea;3019;1953;x
dnagutakh;cleaved_sea_approach;3330;1616;x
dyekhaes;the_passage;3386;1584;x
amgremos;the_passage;3435;1555;x
hoargrass;north_trollsbay;3566;5442;x
serigthan;the_passage;3534;1567;x
ar_drkethrobh;the_passage;3633;1575;x
anisoton;cleaved_sea_approach;3255;1587;x
anisikheion;anisikheion_redoubt;2993;1695;x
agonisi;central_islands;3037;1869;x
serigastisi;beran_waters;3138;2108;x
vothelisi;vothelisi;3200;2163;x
somelisi;axehead_gulf;3237;2038;x
cosan;axehead_gulf;3168;1991;x
animelos;axehead_gulf;3272;2131;x
anisidhan;deathwind_tip;3182;2358;x
anisigo;anisigo;3092;2369;x
gakorochos;gakorochos;2868;2419;x
dhanopadi;difer_coast;2880;2355;x
arpedifer;kimanis_bank;2853;2317;x
metiser;metiser;2882;2288;x
oktikheion;kimanis_bank;2885;2253;x
kimanis;kimanis;2888;2218;x
astolion;kimanis_bank;2958;2177;x
aniser;kimanis_bank;2912;2212;x
arpenisi;deathwind_tip;3086;2305;x
degakheion;bay_of_ormam;2949;2119;x
eiothen;bay_of_ormam;2926;2044;x
ormam;bay_of_ormam;2824;2035;x
eionasi;bay_of_ormam;2868;1968;x
shieldgrowth;trollcoast;3668;5090;x
sothan;lokemeion_coast;2737;1849;x
torexyl;lokemeion_coast;2647;1887;x
lokemeion;lokemeion_coast;2749;1933;x
basothoam;lokemeion_coast;2574;1855;x
anisoga;iona_coast;3234;1834;x
otzaluisghe;south_candish_sea;2458;1828;x
anikhein;anikhein;3115;1857;x
urartola;coast_of_eltikan;2391;1919;x
alosthana;alosthana;2496;2047;x
gonomoro;gonomoro;2533;2125;x
urargora;thenon_current;2577;2209;x
tinideoro;tinideoro;2632;2303;x
sereostina;sereostina;2743;2413;x
sidlar;bay_of_ormam;2836;1948;x
serigeltisi;cleaved_sea;3045;2102;x
stalwart_outpost;stalwart_outpost;4418;6180;x
unaicost;north_gate_sea;5015;4970;x
eyjkasver;icebreaker_pass;4433;7216;x
mijaeyjr;icebreaker_pass;4506;7213;x
hvlurfloi;fjordwash;4619;7167;x
storshellan;pale_waters;4692;7219;x
helgeyj;pale_waters;4724;7167;x
sanureyj;fjordwash;4555;7047;x
nyhofn;pale_waters;4968;7114;x
yrstjerdin;pale_waters;5090;7187;x
karnel;eigras_gate;1931;6812;x
torriailean;western_broken_sea;2580;7091;x
iforiail;bay_of_verencel;3360;6870;x
fadhionan;sealdive;3217;7190;x
celodircal;bay_of_verencel;3534;6972;x
cannbeloch;cannbeloch;3499;7138;x
fospont;fograc_gulf;1646;5031;x
hafnar;upper_dalairey_coast;4666;6489;x
kaldstron;upper_dalairey_coast;4794;6480;x
ayrhol;iceberg_alley;4913;6527;x
zornkost;zornkost;11101;4729;x
lankost;jadd_sea;11234;4729;x
davharral;raghamidesh_sea;11383;4758;x
edesukeru;jadd_sea;10949;4714;x
kesud;salahad_bay;10882;4694;x
daqalm;salahad_bay;10717;4653;x
vyr_cirentyn;anbennar3598;15479;3990;x
unused136;anbennar1398;15197;4810;x
unused137;anbennar1409;15150;4711;x
unused138;anbennar1409;15034;4633;x
unused141;unused141;15176;4909;x
unused146;anbennar1409;14990;4578;x
unused149;anbennar1359;14894;4534;x
unused157;anbennar1359;14752;4479;x
unused158;unused158;14571;4313;x
unused159;anbennar1357;14542;4371;x
unused160;anbennar3661;14458;4339;x
unused169;anbennar3661;14426;4321;x
hlakkavatn;reavers_coast;8034;7056;x
drekkodr;frozen_pass;8311;6943;x
jokullvoss;titans_walk_coast;8538;7071;x
broddrvloi;gerudian_bank;8861;6928;x
unusedland36;anbennar1336;11584;2820;x
unusedland37;unusedland37;11778;2844;x
unusedland39;anbennar1333;11976;2989;x
unusedland41;unusedland41;12218;2387;x
unusedland42;anbennar1329;12392;2809;x
unusedland43;anbennar1616;12768;2593;x
unusedland44;unused76;8529;3009;x
unusedland45;unused75;8590;2992;x
unusedland46;anbennar1464;8997;3638;x
unusedland47;anbennar1464;8910;3670;x
unusedland48;tibokyuye_point;9067;3670;x
unusedland49;unusedland49;8994;3690;x
unusedland50;cape_loranakodro;9239;3300;x
unusedland51;unusedland51;9442;3187;x
unusedland52;unusedland52;9489;3158;x
unusedland53;anbennar1603;9556;3100;x
unusedland54;unused74;9748;3382;x
unusedland55;unused74;9812;3324;x
unusedland56;twilight_isles;12110;4010;x
unusedland57;twilight_isles;11947;3920;x
unusedland58;unusedland58;12002;3833;x
unusedland59;unusedland59;12430;3763;x
unusedland60;lungdou_coast;12386;3623;x
unusedland61;unused112;12706;3681;x
unusedland62;boufeng_islands;12884;3475;x
unusedland63;anbennar1623;12386;3210;x
unusedland64;anbennar4333;9829;3073;x
unusedland65;anbennar4333;9879;2998;x
unusedland66;anbennar4333;9925;2913;x
unusedland67;anbennar1625;10021;2989;x
unusedland68;anbennar1625;10155;3129;x
unusedland69;unusedland69;10106;3175;x
unusedland70;unused82;10304;3129;x
unusedland72;the_endless_abyss;17;1520;x
unusedland83;unusedland83;14417;4694;x
unusedland135;anbennar3661;14434;4269;x
unusedland139;anbennar3608;14280;4001;x
unusedland140;anbennar3608;14167;3969;x
unusedland143;unusedland143;14737;4202;x
unusedland144;unusedland144;14702;4127;x
unusedland145;unusedland145;14609;4089;x
unusedland146;unusedland146;14626;4060;x
unusedland147;unusedland147;14522;4071;x
unusedland148;unusedland148;14484;4022;x
unusedland149;unusedland149;14571;4007;x
unusedland150;anbennar3604;14603;3987;x
unusedland151;unusedland151;14949;4097;x
unusedland153;unusedland153;14897;4106;x
unusedland156;unusedland156;14149;3961;x
unusedland157;unusedland157;14266;3981;x
unusedland158;unusedland158;14330;3958;x
unusedland162;unusedland162;14356;3943;x
unusedland164;unusedland164;14574;3879;x
unusedland165;anbennar3605;14586;3839;x
unusedland169;unusedland169;14656;3809;x
unusedland170;anbennar3605;14589;3873;x
unusedland171;anbennar3605;14615;3937;x
unusedland177;unusedland177;15025;4054;x
unusedland178;unusedland178;15136;3993;x
unusedland179;unusedland179;15249;3961;x
unusedland180;unusedland180;15435;3967;x
unusedland181;unusedland181;15354;3905;x
unusedland182;unusedland182;15377;3879;x
unusedland183;anbennar3598;15461;3862;x
unusedland184;anbennar3597;15421;3789;x
unusedland185;anbennar3597;15392;3789;x
unusedland186;anbennar3597;15371;3760;x
unusedland187;anbennar3597;15394;3693;x
unusedland188;anbennar3596;15325;3737;x
unusedland201;anbennar3593;14737;3423;x
unusedland214;anbennar3594;14935;3425;x
unusedland215;anbennar3594;14894;3414;x
unusedland217;anbennar3593;14798;3391;x
unusedland218;anbennar3594;15008;3455;x
rnw;anbennar3596;15266;3760;x
rnw;anbennar3596;15243;3638;x
rnw;anbennar3596;15156;3539;x
rnw;anbennar3596;15063;3434;x
rnw;anbennar3593;14690;3393;x
rnw;anbennar3593;14621;3300;x
rnw;anbennar3593;14560;3236;x
rnw;anbennar3593;14475;3199;x
rnw;anbennar3593;14449;3167;x
rnw;anbennar3592;14353;3103;x
rnw;anbennar3592;14245;3140;x
rnw;anbennar3592;14170;3091;x
rnw;anbennar3591;14077;3073;x
rnw;anbennar3591;13969;3068;x
rnw;rnw;14129;2791;x
rnw;anbennar3591;14144;2785;x
rnw;anbennar3590;14094;2655;x
rnw;rnw;15074;5052;x
rnw;rnw;15095;4941;x
rnw;anbennar1357;14661;4458;x
rnw;anbennar1357;14597;4435;x
rnw;anbennar3607;14434;4205;x
rnw;anbennar3607;14417;4129;x
rnw;anbennar3608;14370;3967;x
rnw;anbennar3606;14437;4080;x
rnw;anbennar3606;14501;4083;x
rnw;anbennar3609;14490;4144;x
rnw;anbennar3608;14135;3961;x
rnw;anbennar3581;13536;4202;x
rnw;anbennar3569;13733;3457;x
rnw;anbennar3566;13716;3414;x
rnw;rnw;13658;3367;x
rnw;anbennar3564;13565;3167;x
rnw;rnw;13541;3105;x
rnw;anbennar3563;13501;2873;x
rnw;anbennar3563;13483;2817;x
rnw;anbennar3586;13416;2716;x
rnw;anbennar3563;13416;2867;x
rnw;anbennar3563;13518;2995;x
anbennar4178;danas_naza;9928;5378;x
khinana;raghamidesh_sea;11418;4802;x
avhavubhiya;raghamidesh_sea;11476;4781;x
arapatan;raghamidesh_sea;11549;4752;x
sarkhashabid;sarkhashabid;11586;4723;x
dvirashar;coast_of_iyarhashar;11735;4583;x
dvipaskaya;coast_of_iyarhashar;11604;4688;x
rashaidhu;coast_of_iyarhashar;11650;4636;x
bavijay;coast_of_iyarhashar;11682;4601;x
pakhuravan;gulf_of_rahen;11761;4700;x
sardika;sardika;11770;4612;x
pharanay;sardika_coast;11752;4647;x
bharabagha;sardika_coast;11741;4685;x
tujgal;gulf_of_rahen;11799;4711;x
biyijinda;gulf_of_rahen;11857;4708;x
nubidriya;gulf_of_rahen;11877;4738;x
tanyatta;gulf_of_rahen;11915;4767;x
subkaliss;jadd_sea;11005;4688;x
sramaya;gulf_of_rahen;11936;4799;x
tiphiya;tiphiya;11828;4505;x
ishudhen;ishudhen;11901;4726;x
reanthung;gulf_of_rahen;11941;4781;x
niabptaa;niabptaa;11941;4735;x
telebei_fingers;gulf_of_rahen;11962;4703;x
tevi_cmor;gulf_of_rahen;11970;4674;x
kruengruk;outer_gulf;12014;4656;x
bnangmor;outer_gulf;12002;4627;x
prukakhin;outer_gulf;12043;4604;x
trikhom;outer_gulf;12052;4563;x
karpyearong;outer_gulf;12072;4505;x
sekudtan;gulf_of_gon;12128;4525;x
skarkaophe;gulf_of_gon;12186;4551;x
anbennar4658;anbennar4658;1824;4723;x
new_hope;bay_of_hope;6423;4726;x
hook_cape;hook_cape;5512;5270;x
flaruan;flaruan;5504;5200;x
telcestir;pirendral_strait;5509;4825;x
bright_beach;bright_beach;5730;5066;x
bruaine;pirendral_strait;5277;4935;x
cape_of_mists;severed_bay;4840;5139;x
pralung;unused106;12290;4537;x
bihon_caung;unused106;12305;4464;x
lindou;tamran_sea;12328;4362;x
cay_cam_sinh;tamran_sea;12360;4423;x
hebatabuh;tamran_sea;12386;4400;x
gulunug;tamran_sea;12395;4330;x
pingurnsai;tamran_sea;12381;4272;x
lawantug;sunshine_point;12360;4167;x
aksa_sanuyego;sunshine_point;12340;4068;x
wemurwul;unused110;12407;4086;x
mangayan;unused110;12462;4144;x
trazerinaw;unused110;12488;4156;x
curite;bay_of_lupulan;12558;4170;x
tunupansai;bay_of_lupulan;12599;4185;x
kusun;merchants_gate;12718;4193;x
phaktaiden;phaktaiden;12762;4295;x
kaisanthi;binhrung_coast;12753;4409;x
kangcau;binhrung_coast;12756;4476;x
ranaxarhe;phokhao_pass;12811;4630;x
hintantich;binhrung_coast;12765;4519;x
thalomxav;phokhao_pass;12855;4694;x
mairuk;unused106;12244;4563;x
talyasgam;merchants_gate;12701;4054;x
kuta;merchants_gate;12674;4179;x
houdouwo;sunshine_point;12189;4063;x
monglingsaau;black_flag_sea;11901;4333;x
sekngon;phokhao_pass;12858;4842;x
ginjyu;phokhao_pass;12896;4819;x
zyugok;phokhao_pass;12954;4880;x
tianlou;tianlou_bay;13216;5287;x
tikok;jellyfish_coast;13181;5148;x
dioungidong;jellyfish_coast;13146;5130;x
feiten;jellyfish_coast;13131;5087;x
hehong;jellyfish_coast;13117;5034;x
cuihiok;cuihiok;12997;4900;x
douuan;jellyfish_coast;13047;4953;x
dongngan;jellyfish_coast;13070;4982;x
hean;tianlou_bay;13224;5218;x
beikdugang;tianlou_bay;13285;5328;x
mingyuangang;tianlou_bay;13314;5360;x
jikpo;sea_of_spears;13239;5453;x
heikhai;heikhai;13137;5442;x
shangbu;shangbu;13102;5485;x
yiguan;sea_of_spears;13114;5523;x
wenqiao;sea_of_spears;13184;5642;x
jiantsiang;sea_of_spears;13152;5570;x
keoaden;binhrung_coast;12814;4563;x
pakpon_haitri;unused106;12317;4505;x
hasiksibou;hasiksibou;12413;4298;x
arawkelin;bay_of_lupulan;12535;4147;x
damaogong;damaogong;13099;5444;x
hegolar;hegolar;12430;6847;x
cholamin;cholamin;12634;6867;x
chokuk;chokuk;12837;6867;x
birin;birin;12945;6948;x
tuuchuweg;clouded_bay;13216;6992;x
godurman;godurman;13355;6844;x
javeejog;javeejog;10981;6966;x
maruukitord;raevaton_cove;10923;6794;x
ponrentan;kukatodic_bight;10714;6777;x
karjrenta;karjrenta;10670;6626;x
uarenain;uarenain;10699;6535;x
godhhosh;godhhosh;10775;6492;x
arrainma;tsaeshuurgs_doom;10816;6434;x
hoadileach;tsaeshuurgs_doom;10839;6375;x
socharrain;tsaeshuurgs_doom;10880;6317;x
risdharsunh;kyhjudamic_gulf;10807;6250;x
tinhtoogh;tinhtoogh;10781;6221;x
dochradurscaen;dochradurscaen;10772;6180;x
agshing_alchar;agshing_alchar;10853;6210;x
urscaenzamh;northern_utparshqar_gulf;11005;6108;x
tughealshud;tughealshud;10955;6215;x
tirughuunn;tirughuunn;11002;6178;x
domnust;domnust;11040;6082;x
oirghsegh;oirghsegh;11089;6079;x
fathughobu;fathughobu;11168;6076;x
imulotpaek;imulotpaek;11185;5956;x
faanhosegh;faanhosegh;11261;5959;x
arbheyuul;arbheyuul;11336;6029;x
rithkochd;rithkochd;11386;6073;x
gurghosegh;gurghosegh;11453;6096;x
toraghnleag;taynuya_coast;11490;6151;x
tririmain;tririmain;11607;6175;x
abalgyuul;abalgyuul;11630;6195;x
anuarboogh;anuarboogh;11662;6256;x
tonhmochd;keyahlkho_sea;11665;6314;x
naglaigazamh;oriolg_channel;11671;6375;x
aporllann;aporllann;11665;6445;x
olmarsunh;olmarsunh;11700;6454;x
tairsunh;tairsunh;11784;6463;x
stargaenan;koverek;11808;6492;x
oyehosegh;koverek;11796;6564;x
thaibunsegh;thaibunsegh;12273;6783;x
thurbinscaen;thurbinscaen;12235;6809;x
garechata;garechata;12180;6870;x
itorstarg;itorstarg;12084;6867;x
adhmalaenan;adhmalaenan;11808;6660;x
inaersligh;inaersligh;11810;6788;x
regchocon;regchocon;11994;6855;x
dechbagar;dechbagar;11877;6858;x
adoirughd;osnemjaar_sea;11799;6719;x
bogigtonh;bogigtonh;11741;6690;x
aluunvagla;koverek;11671;6658;x
abosrekodh;abosrekodh;11712;6690;x
zurkanrek;osnemjaar_sea;11700;6710;x
kozuurnkhiin;kozuurnkhiin;11703;6733;x
kovtalzar;haraighun_bay;11607;6678;x
ichunzer;ichunzer;11659;6768;x
yarumudh;yarumudh;11607;6762;x
eniikhonrek;eniikhonrek;11566;6754;x
ikogshonrek;haraighun_bay;11557;6678;x
khirntozgon;sagat_coast;11522;6762;x
haraigizenhi_bulrek;haraighun_bay;11499;6707;x
zigtoitzai;zigtoitzai;11517;6681;x
khugatseig;khugatseig;11528;6637;x
tzidoilhol;qarshtuluu_inlet;11490;6628;x
ultakal;avdilonkh_sea;11537;6605;x
shikkesh;qarshtuluu_inlet;11456;6631;x
cergutozgon;qarshtuluu_inlet;11406;6658;x
orizer;orizer;11444;6774;x
enjonrek;enjonrek;11392;6748;x
kozuurigur;kozuurigur;11351;6690;x
ermagerek;qarshtuluu_inlet;11377;6658;x
lankuuhsta;lankuuhsta;11296;6608;x
akuutengen;qarshtuluu_inlet;11400;6620;x
sotleeja_pagata;gulf_of_marekiiv;11371;6562;x
alyalt;alyalt;11441;6588;x
chortalzar;chortalzar;11488;6570;x
bazur_qarshtuluu;bazur_qarshtuluu;11525;6553;x
zurka_qarshtuluu;zurka_qarshtuluu;11540;6541;x
negechimudh;negechimudh;11563;6521;x
orilgbulrek;orilgbulrek;11598;6445;x
karnuyatushlaq;karnuyatushlaq;11586;6407;x
yizuqkeyil;oriolg_channel;11586;6372;x
ornuyatushlaq;zoximari_gulf;11528;6372;x
qirnuyaqoqov;zoximari_gulf;11511;6404;x
aragakhunar;zoximari_gulf;11485;6422;x
tolgusrek;zoximari_gulf;11435;6436;x
kamapkod;kamapkod;11362;6521;x
mizaqtoch;zoximari_gulf;11403;6436;x
narkel;zoximari_gulf;11415;6390;x
jungyukaroy;zoximari_gulf;11371;6375;x
jazqishogtoch;jazqishogtoch;11325;6451;x
bozkuqayla;zoximari_gulf;11360;6364;x
marekiiv;marekiiv;11275;6416;x
tayerigliq;zoximari_gulf;11354;6346;x
kayigaydon;sayinkel_coast;11342;6326;x
tarmikushloy;sayinkel_coast;11316;6300;x
vaskargall;vaskargall;11237;6396;x
chelkota_qayla;chelkota_qayla;11278;6247;x
urukaril;sayinkel_coast;11290;6195;x
doynuyaqushloy;darvoyaryil;11205;6189;x
qirnuyalaroq;qirnuyalaroq;11141;6204;x
buruvaqoyla;northern_utparshqar_gulf;11141;6134;x
joglikunazmoq;joglikunazmoq;11074;6186;x
taynuyatay;darvoyaryil;11223;6247;x
pavorshogtoch;teipuuvokja_sea;11112;6300;x
kanlaameevbahti;kanlaameevbahti;11168;6428;x
sinesadma;sinesadma;11124;6404;x
muadele;muadele;11092;6399;x
valralahdi;teipuuvokja_sea;11089;6306;x
vantnhasadma;teipuuvokja_sea;11066;6288;x
vuusdsadma;vurtijitten_sea;11022;6300;x
kukatordi;vurtijitten_sea;11008;6335;x
tieraspua;vurtijitten_sea;10970;6340;x
taalehpung;taalehpung;10999;6402;x
javeesild;tsaeshuurgs_doom;10932;6361;x
zabyostlar;zabyostlar;11229;6183;x
lankina;vurtijitten_sea;10987;6332;x
hamhavisadma;teipuuvokja_sea;11150;6276;x
sinekaanb;voimlik_sea;11034;7079;x
ponvoolris;puulkaadis_coast;11214;7143;x
piikanvosaamua;puulkaadis_coast;11319;7321;x
jogonmo;coast_of_moduk;13445;6463;x
muongori;biyengi_shore;13629;6236;x
sulgerin;sulgerin;13533;6387;x
myeongha;myeongha;13658;5852;x
onman;bay_of_onman;13693;5907;x
ikchon;bay_of_onman;13777;5939;x
byeokseo;bay_of_onman;13815;6035;x
manjangdan;manjangdan;13722;6131;x
gohaean;south_gowon_sea;13620;5747;x
juhang;south_gowon_sea;13472;5651;x
jikhuush;sea_of_spears;13317;5651;x
khaangek;sea_of_spears;13256;5654;x
nakseseom;biyengi_shore;13745;6512;x
istanuz;istanuz;10711;4548;x
azka_szel_udam;salahad_bay;10807;4514;x
kerusah;kerusah;10914;4464;x
irkorgrax;irkorgrax;11016;4377;x
beri_gnidi;tiger_coast;11162;4385;x
bakrast_khaj;bakrast_khaj;11127;4336;x
berparwedeb;berparwedeb;11173;4324;x
sakatiyaro;sakatiyaro;11278;4356;x
biribitid;tiger_coast;11342;4292;x
dakmender;tiger_coast;11383;4275;x
bjumadara;bjumadara;11426;4266;x
riyiwedeb;horn_of_sarhal;11569;4223;x
rishowedeb;rishowedeb;11688;4278;x
ofireri;ofireri;11741;4333;x
bekwa_eparta;bekwa_eparta;11845;4255;x
irkan_eparta;irkan_eparta;11872;4176;x
venebratbiy;unused103;11863;4112;x
yetmesira;yetmesira;11790;3996;x
lipmekat;lipmekat;11802;3926;x
rufuembta;anbennar1342;11813;3841;x
goufeingon;goufeingon;11810;3737;x
guwazi;anbennar1614;11877;3597;x
fuhoengwaan;anbennar1341;11770;3521;x
gubamalmay;gubamalmay;11752;3382;x
kaziradoka;kaziradoka;11682;3312;x
degutkombe;anbennar1340;11572;3286;x
daabapwabi;anbennar1339;11447;3318;x
zyumaklai;anbennar1614;12034;3615;x
katikbumay;anbennar1339;11365;3391;x
mkulanka_kabila;anbennar1339;11328;3408;x
gyumtihini;gyumtihini;11287;3376;x
amafisumaz;amafisumaz;11266;3265;x
anbennar5631;anbennar1338;11220;3190;x
anbennar5634;anbennar1338;11162;3091;x
ilbaakhnim_dhamakeed;ilbaakhnim_dhamakeed;11144;3053;x
dasmatus;maqeti_coast;10871;4525;x
kunolo;kunolo_bay;9184;3978;x
zokek;kunolo_bay;9163;3937;x
gbujeru;kunolo_bay;9227;3937;x
tiboktsamo;tiboktsamo;9256;3841;x
tukabe;tukabe;9422;3763;x
ovekafa;ovekafa;9344;3809;x
banji;banji;9131;3891;x
ninakaire;latran_coast;8730;3801;x
stoutmarch;latran_coast;8785;3798;x
timberland;tora_delta;8858;3786;x
marids_bay;tora_delta;8936;3772;x
new_hookfield;tora_delta;9035;3792;x
port_narawen;tora_delta;9090;3821;x
selcost;latran_coast;8642;3725;x
fort_whittington;anbennar1465;8558;3690;x
grahams_landing;anbennar1466;8279;3693;x
crovanspier;anbennar1465;8471;3644;x
the_bump;sandspite_approach;7659;4877;x
smugglers_cache;corsair_reaches;7153;4674;x
pawprint;bumpy_waves;7822;4572;x
xhuxuu;sandspite_gulf;8148;4365;x
zitan_tomon;zitan_tomon;8125;4330;x
turro;turro;8075;4298;x
wiw_reku;ovekafa_coast;9285;3850;x
ganimeor;ganimeor;8171;3804;x
sant_bernal;anbennar1467;8148;3946;x
saya_bugu;anbennar1467;8180;4051;x
sigilan;anbennar1467;8157;4089;x
pipi_abada;pipi_abada;7994;4284;x
sinadaba;anbennar1467;8096;4118;x
nosivy;saikinoma_pass;9248;3673;x
teramtvara;anbennar1461;9172;3498;x
mapiltra;mapiltra;9338;3559;x
lelajik;lelajik;9442;3449;x
onkelymapo;onkelymapo;9498;3324;x
ibidisfa;cape_loranakodro;9378;3309;x
linavy;linavy;9739;3146;x
ananiltra;anbennar1603;9722;3056;x
trumbataze;anbennar4346;9882;2806;x
diratond;anbennar4346;9768;2727;x
agaya;anbennar1460;9888;3158;x
karshyr;anbennar1459;10001;3105;x
zuvavim;saikinoma_pass;9405;3708;x
zugvuma;unused72;9477;3641;x
uret;anbennar1462;9541;3594;x
chibuswa;anbennar1462;9579;3574;x
bivuzena;anbennar1462;9634;3530;x
sant_laurente;sant_laurente;11671;2916;x
bud_vanhu;anbennar1462;9707;3481;x
amiri;anbennar1462;9728;3481;x
igazimpa;unused74;9818;3420;x
mthnyama;mthnyama;9777;3460;x
ulongatonga;unused74;9818;3391;x
mfakil;mfakil;9853;3338;x
sekas_kiyk;unused74;9879;3283;x
rathas_kiyk;anbennar1459;9922;3207;x
gokadas_kiyk;anbennar1459;10001;3239;x
karassk;karassk;10077;3260;x
narasad;narasad;10114;3327;x
narachuak;unused80;10178;3359;x
khugra;khugra;10208;3393;x
sekas_atsla;anbennar1458;10260;3376;x
tartashmirik;anbennar1458;10309;3347;x
tsish_nagaya;unused81;10370;3300;x
ksad_nazhni;ksad_nazhni;10423;3274;x
nazhni;unused81;10452;3228;x
nazhni_tressik;unused81;10513;3193;x
ra_sharitsaya;anbennar1457;10606;3225;x
gokadas_soro;unused85;10693;3225;x
jas_shar;unused123;11176;2657;x
etarshyn;unused85;10737;3228;x
khatynsek;unused85;10795;3158;x
shar_ashamad;anbennar1456;10804;3085;x
mabeedkedwa;anbennar1337;11226;2937;x
almajutaqa;unused122;11127;2940;x
dhul_yingidar;unused121;11028;2986;x
qasri_ubakhiyo;unused121;10964;3004;x
tsutshaga;anbennar1625;10260;3041;x
kethenkad;anbennar1457;10565;3149;x
mubfadodja;anbennar1456;10752;3021;x
peen;anbennar1457;10647;3059;x
eawuba;eawuba;10920;2954;x
janab_swaba;janab_swaba;10882;2922;x
miridhinfay;miridhinfay;10944;2934;x
qasri_jamiilkh;qasri_jamiilkh;11008;2774;x
qasri_kallumahida;qasri_kallumahida;11022;2881;x
qasri_dakaadifu;qasri_dakaadifu;11112;2817;x
bada_bilad;anbennar1335;11150;2777;x
qasri_warani;qasri_warani;11124;2762;x
qasri_fooryinka;qasri_fooryinka;11179;2733;x
jas_mabeed;jas_mabeed;11138;2649;x
jas_janab;unused88;11179;2596;x
kallayaad;unused88;11208;2518;x
ghubamadhed;unused124;11272;2550;x
yukuhatbuur;anbennar1448;11272;2454;x
